data_series,total_reg,cat_a,cat_b
  2023 Feb,4148,1005,1101
  2023 Jan,3135,827,1041
  2022 Dec,4398,1077,1272
  2022 Nov,4371,1100,1165
  2022 Oct,4209,1019,1296
  2022 Sep,4372,1011,1303
  2022 Aug,4600,1133,1174
  2022 Jul,4512,1240,1246
  2022 Jun,5368,1406,1808
  2022 May,4776,1313,1604
  2022 Apr,4657,1139,1347
  2022 Mar,4863,1073,1531
  2022 Feb,3743,985,1270
  2022 Jan,4697,1315,1645
  2021 Dec,4955,1191,1696
  2021 Nov,4733,1352,1594
  2021 Oct,4696,1470,1472
  2021 Sep,5821,1484,2403
  2021 Aug,5395,1251,2241
  2021 Jul,5509,1598,1809
  2021 Jun,6254,1932,2484
  2021 May,5453,1519,2240
  2021 Apr,6186,1683,2348
  2021 Mar,7869,1888,2694
  2021 Feb,5637,1537,2099
  2021 Jan,7873,2452,2799
  2020 Dec,6152,1291,2614
  2020 Nov,6810,1819,2840
  2020 Oct,6859,2091,2650
  2020 Sep,6878,1978,2578
  2020 Aug,7487,2277,2897
  2020 Jul,6785,1909,2912
  2020 Jun,2072,449,612
  2020 May,653,13,34
  2020 Apr,1646,263,419
  2020 Mar,7532,2250,2732
  2020 Feb,6911,2028,2630
  2020 Jan,7182,2160,2861
  2019 Dec,8046,2156,2550
  2019 Nov,8023,2447,2622
  2019 Oct,7977,2202,2812
  2019 Sep,8179,2567,3004
  2019 Aug,8135,2390,2705
  2019 Jul,10553,3658,3327
  2019 Jun,9143,3188,2961
  2019 May,9576,3567,2738
  2019 Apr,10378,3920,2938
  2019 Mar,10709,3573,3642
  2019 Feb,7284,2408,2594
  2019 Jan,11782,4111,4138
  2018 Dec,9922,2930,3714
  2018 Nov,9923,3238,3523
  2018 Oct,9876,3018,3719
  2018 Sep,8843,2887,3280
  2018 Aug,8533,2721,3208
  2018 Jul,7755,2059,3207
  2018 Jun,12684,5927,4528
  2018 May,9467,3889,3523
  2018 Apr,8922,3342,3615
  2018 Mar,8579,3674,3313
  2018 Feb,6076,2668,2541
  2018 Jan,6716,3524,2045
  2017 Dec,14327,4369,5748
  2017 Nov,10454,3754,3913
  2017 Oct,9797,3416,3730
  2017 Sep,8780,2775,3126
  2017 Aug,11236,3746,3970
  2017 Jul,10955,3674,3847
  2017 Jun,11209,4189,4055
  2017 May,11288,4473,3933
  2017 Apr,8550,3672,3114
  2017 Mar,11403,4666,3927
  2017 Feb,8251,3647,2501
  2017 Jan,9538,3695,3835
  2016 Dec,9229,3735,3040
  2016 Nov,9726,3674,3805
  2016 Oct,9751,4247,3511
  2016 Sep,10536,4486,3430
  2016 Aug,9926,4229,2889
  2016 Jul,9736,3859,3044
  2016 Jun,10941,4847,3254
  2016 May,11004,4910,3295
  2016 Apr,10280,3997,3180
  2016 Mar,10445,4124,2955
  2016 Feb,7579,3239,2488
  2016 Jan,9638,3953,3111
  2015 Dec,9347,3676,2688
  2015 Nov,8783,3564,2597
  2015 Oct,9229,3667,2428
  2015 Sep,8221,2811,2437
  2015 Aug,7681,2446,2241
  2015 Jul,5090,1777,1390
  2015 Jun,8934,3853,3134
  2015 May,6734,2501,2070
  2015 Apr,6008,1866,1976
  2015 Mar,6339,1958,1958
  2015 Feb,4304,1306,1589
  2015 Jan,5398,1547,1972
  2014 Dec,5253,1482,1589
  2014 Nov,5090,1269,1640
