data_series,total_veh_pop,total_cars,total_private_hire_cars
  2023 Feb,996531,579896,73982
  2023 Jan,995905,580004,73318
  2022 Dec,995746,580332,72632
  2022 Nov,994820,580543,71649
  2022 Oct,994790,581297,71030
  2022 Sep,994021,581488,70311
  2022 Aug,993351,581532,69852
  2022 Jul,992414,581481,69477
  2022 Jun,991464,581405,68893
  2022 May,989995,580638,68395
  2022 Apr,988720,579940,68040
  2022 Mar,988194,579792,67820
  2022 Feb,988949,579972,68032
  2022 Jan,989040,579685,68048
  2021 Dec,988755,579369,67990
  2021 Nov,987965,578635,68091
  2021 Oct,987450,577900,68233
  2021 Sep,986873,577380,68380
  2021 Aug,984972,575695,68455
  2021 Jul,983843,574658,68593
  2021 Jun,982459,573449,68944
  2021 May,981549,572061,69455
  2021 Apr,981553,571468,69965
  2021 Mar,980293,570241,70424
  2021 Feb,978479,568945,70858
  2021 Jan,977157,567671,70966
  2020 Dec,973990,565033,71147
  2020 Nov,972859,563760,71506
  2020 Oct,971021,561866,71795
  2020 Sep,969189,559898,72197
  2020 Aug,967575,558102,72679
  2020 Jul,965705,555987,73172
  2020 Jun,964299,553797,74009
  2020 May,967322,554767,75336
  2020 Apr,970431,555779,76312
  2020 Mar,973761,557101,77412
  2020 Feb,974205,556387,77815
  2020 Jan,973534,555680,77670
  2019 Dec,973101,555540,77141
  2019 Nov,972224,555870,76527
  2019 Oct,971244,555719,75878
  2019 Sep,970344,555823,75079
  2019 Aug,968959,555800,73788
  2019 Jul,967768,556155,72646
  2019 Jun,965547,555611,71180
  2019 May,963335,554709,70204
  2019 Apr,961606,554301,68896
  2019 Mar,959864,553412,68035
  2019 Feb,959584,552809,67788
  2019 Jan,959468,552763,67571
  2018 Dec,957006,551575,66480
  2018 Nov,956428,551407,66079
  2018 Oct,956106,551018,66273
  2018 Sep,955956,550423,66410
  2018 Aug,956287,550117,66998
  2018 Jul,957297,550043,67892
  2018 Jun,959938,551000,68817
  2018 May,956839,547599,68341
  2018 Apr,957246,546557,68496
  2018 Mar,957562,546170,68311
  2018 Feb,958540,545906,67931
  2018 Jan,959227,545490,67834
  2017 Dec,961842,546706,68083
  2017 Nov,956961,544708,66658
  2017 Oct,955542,544002,66001
  2017 Sep,955156,543991,65470
  2017 Aug,955554,544474,65603
  2017 Jul,954209,544638,64401
  2017 Jun,953097,545024,63259
  2017 May,951149,544979,61732
  2017 Apr,949364,545584,59753
  2017 Mar,950582,547024,58027
  2017 Feb,955270,548754,55224
  2017 Jan,955888,550395,53589
  2016 Dec,956430,552427,51336
  2016 Nov,956921,554567,49785
  2016 Oct,957030,556304,48150
  2016 Sep,956719,558090,45917
  2016 Aug,955550,559159,43462
  2016 Jul,954919,561595,40604
  2016 Jun,954717,563833,38353
  2016 May,953110,564877,36002
  2016 Apr,951865,566130,33997
  2016 Mar,952731,567993,32545
  2016 Feb,955866,572014,31257
  2016 Jan,956966,573793,30433
  2015 Dec,957246,575353,29369
  2015 Nov,957931,577631,27988
  2015 Oct,958651,579199,27097
  2015 Sep,959314,581208,26013
